|     | Data_urodzenia       | Wykształcenie | Dochód_roczny | Wiek |
| --- | -------------------- | ------------- | ------------- | ---- |
| 1   | 21 marca 1956        | wyższe        | 32000         | 48   |
| 2   | 15 grudnia 1980      | średnie       | 28000         | 23   |
| 3   | 12 września 1977     | wyższe        | 29000         | 27   |
| 4   | 9 listopada 1965     | podstawowe    | 36000         | 39   |
| 5   | 7 listopada 1945     | podstawowe    | 40000         | 59   |
| 6   | 23 maja 1934         | średnie       | 48000         | 70   |
| 7   | 22 czerwca 1942      | podstawowe    | 32000         | 62   |
| 8   | 27 kwietnia 1981     | średnie       | 18000         | 23   |
| 9   | 17 października 1953 | wyższe        | 52000         | 51   |
| 10  | 21 kwietnia 1951     | wyższe        | 49000         | 53   |
| 11  | 19 stycznia 1957     | wyższe        | 24000         | 47   |
| 12  | 23 września 1969     | średnie       | 22000         | 35   |
| 13  | 15 marca 1982        | średnie       | 12000         | 22   |
| 14  | 5 kwietnia 1972      | wyższe        | 16000         | 32   |
| 15  | 9 kwietnia 1977      | wyższe        | 21000         | 27   |
| 16  | 2 października 1979  | wyższe        | 27000         | 25   |
| 17  | 12 października 1983 | średnie       | 10000         | 21   |
| 18  | 28 grudnia 1975      | wyższe        | 30000         | 28   |
| 19  | 25 listopada 1932    | podstawowe    | 26000         | 72   |
| 20  | 23 września 1936     | podstawowe    | 43000         | 68   |
| 21  | 11 lipca 1940        | wyższe        | 61000         | 64   |
| 22  | 5 sierpnia 1941      | wyższe        | 38000         | 63   |
| 23  | 24 kwietnia 1944     | podstawowe    | 17000         | 60   |
| 24  | 26 stycznia 1949     | średnie       | 22000         | 55   |
| 25  | 12 czerwca 1957      | wyższe        | 39000         | 47   |
| 26  | 19 marca 1956        | podstawowe    | 23200         | 48   |
| 27  | 11 grudnia 1980      | średnie       | 13300         | 23   |
| 28  | 6 września 1977      | podstawowe    | 17400         | 27   |
| 29  | 1 listopada 1965     | średnie       | 22500         | 39   |
| 30  | 28 października 1945 | wyższe        | 28600         | 59   |
| 31  | 11 maja 1934         | wyższe        | 11700         | 70   |
| 32  | 8 czerwca 1942       | wyższe        | 31800         | 62   |
| 33  | 11 kwietnia 1981     | średnie       | 27900         | 23   |
| 34  | 29 września 1953     | średnie       | 45000         | 51   |
| 35  | 1 kwietnia 1951      | wyższe        | 63100         | 53   |
| 36  | 28 grudnia 1956      | wyższe        | 40200         | 47   |
| 37  | 30 sierpnia 1969     | średnie       | 19300         | 35   |
| 38  | 17 lutego 1982       | wyższe        | 24400         | 22   |
| 39  | 8 marca 1972         | podstawowe    | 41500         | 32   |
| 40  | 10 marca 1977        | podstawowe    | 40500         | 27   |
| 41  | 31 sierpnia 1979     | średnie       | 48600         | 25   |
| 42  | 8 września 1983      | podstawowe    | 32700         | 21   |
| 43  | 22 listopada 1975    | średnie       | 18800         | 29   |
| 44  | 18 października 1932 | wyższe        | 52900         | 72   |
| 45  | 14 sierpnia 1936     | wyższe        | 50000         | 68   |
| 46  | 30 maja 1940         | średnie       | 25100         | 64   |
| 47  | 22 czerwca 1941      | wyższe        | 23200         | 63   |
| 48  | 9 marca 1944         | podstawowe    | 13300         | 60   |
| 49  | 9 grudnia 1948       | podstawowe    | 17400         | 55   |
| 50  | 23 kwietnia 1957     | wyższe        | 22500         | 47   |
| 51  | 21 kwietnia 1982     | wyższe        | 28600         | 22   |
| 52  | 13 maja 1972         | podstawowe    | 11700         | 32   |
| 53  | 18 maja 1977         | średnie       | 31800         | 27   |
| 54  | 11 listopada 1979    | wyższe        | 27900         | 25   |
| 55  | 22 listopada 1983    | średnie       | 23500         | 21   |
| 56  | 8 lutego 1976        | wyższe        | 13700         | 28   |
| 57  | 7 stycznia 1933      | wyższe        | 17900         | 71   |
| 58  | 6 listopada 1936     | średnie       | 23100         | 68   |
| 59  | 25 sierpnia 1940     | wyższe        | 29300         | 64   |
| 60  | 20 września 1941     | podstawowe    | 12500         | 63   |
| 61  | 10 czerwca 1944      | podstawowe    | 32700         | 60   |
| 62  | 15 marca 1949        | średnie       | 28900         | 55   |
| 63  | 31 lipca 1957        | podstawowe    | 46100         | 47   |
| 64  | 15 kwietnia 1956     | średnie       | 64300         | 48   |
| 65  | 10 stycznia 1981     | podstawowe    | 41500         | 23   |
| 66  | 9 października 1977  | średnie       | 20700         | 27   |
| 67  | 7 grudnia 1965       | wyższe        | 25900         | 38   |
| 68  | 6 grudnia 1945       | średnie       | 43100         | 58   |
| 69  | 22 czerwca 1934      | wyższe        | 42200         | 70   |
| 70  | 23 lipca 1942        | wyższe        | 50400         | 62   |
| 71  | 29 maja 1981         | średnie       | 34600         | 23   |
| 72  | 19 listopada 1953    | średnie       | 20800         | 51   |
| 73  | 25 maja 1951         | wyższe        | 55000         | 53   |
| 74  | 23 lutego 1957       | podstawowe    | 52200         | 47   |
| 75  | 29 października 1969 | podstawowe    | 27400         | 35   |
| 76  | 20 kwietnia 1957     | wyższe        | 25600         | 47   |
| 77  | 15 kwietnia 1982     | wyższe        | 15800         | 22   |
| 78  | 4 maja 1972          | średnie       | 20000         | 32   |
| 79  | 6 maja 1977          | podstawowe    | 25200         | 27   |
| 80  | 27 października 1979 | średnie       | 31400         | 25   |
| 81  | 4 listopada 1983     | wyższe        | 14600         | 21   |
| 82  | 18 stycznia 1976     | wyższe        | 34800         | 28   |
| 83  | 14 grudnia 1932      | wyższe        | 31000         | 71   |
| 84  | 10 października 1936 | średnie       | 31000         | 68   |
| 85  | 26 lipca 1940        | średnie       | 26700         | 64   |
| 86  | 18 sierpnia 1941     | wyższe        | 17000         | 63   |
| 87  | 5 maja 1944          | podstawowe    | 21300         | 60   |
| 88  | 4 lutego 1949        | podstawowe    | 26600         | 55   |
| 89  | 19 czerwca 1957      | wyższe        | 32900         | 47   |
| 90  | 1 marca 1956         | wyższe        | 16200         | 48   |
| 91  | 23 listopada 1980    | średnie       | 36500         | 24   |
| 92  | 19 sierpnia 1977     | podstawowe    | 32800         | 27   |
| 93  | 14 października 1965 | średnie       | 50100         | 39   |
| 94  | 10 października 1945 | wyższe        | 68400         | 59   |
| 95  | 23 kwietnia 1934     | średnie       | 45700         | 70   |
| 96  | 21 maja 1942         | wyższe        | 25000         | 62   |
